P:Jan Friso Groote
P:Kim G. Larsen
Pedro R. D'Argenio
Christel Baier
Dirk Beyer
Armin Biere
Valentina Castiglioni
Alessandro Cimatti
Rance Cleaveland
Yuxin Deng
Carla Ferreira
Goran Frehse
Susanne Graf
Orna Grumberg
Klaus Havelund
Holger Hermanns
Peter H&ouml;fner
Hossein Hojjat
Falk Howar
David N. Jansen
Marcin Jurdzi&#324;ski
Joost-Pieter Katoen
Jeroen Keiren
Sophia Knight
Laura Kov&aacute;cs
Jan Kret&iacute;nsk&yacute;
Alfons Laarman
Xinxin Liu
Mieke Massink
Radu Mateescu
Jun Pang
David Parker
Jaco van de Pol
Natasha Sharygina
Jan Strej&#269;ek
Antti Valmari
Bj&ouml;rn Victor
Sarah Winkler
